EDA,ECG,Label,Left Pupil Diameter (m),Right Pupil Diameter (m),Eye Opening Left,Eye Opening Right,PERCLOS Value,Blinking
4.3114,-0.1822,2,0.002089,0.002242,0.4522,0.4111,0.5904,0
4.3129,-0.1535,2,0.002101,0.002183,0.4679,0.4372,0.5904,0
4.312,-0.1209,2,0.002115,0.002224,0.4489,0.4276,0.5903,0
4.3129,-0.0918,2,0.002274,0.002392,0.5027,0.4294,0.5902,0
4.3116,-0.0696,2,0.002195,0.002318,0.4237,0.4388,0.5902,0
4.312,-0.054,2,0.002396,0.002848,0.4942,0.4400,0.5901,0
4.3129,-0.0471,2,0.002497,0.002308,0.4875,0.4354,0.5901,0
4.3118,-0.0453,2,0.002427,0.002164,0.5061,0.4455,0.5900,0
4.3125,-0.0349,2,0.002666,0.002851,0.4911,0.4825,0.5900,0
4.3131,-0.0231,2,0.002598,0.002502,0.4828,0.4976,0.5899,0
4.3118,-0.0187,2,0.002555,0.002895,0.4882,0.4952,0.5899,0
4.3126,-0.0104,2,0.002382,0.002721,0.5316,0.5223,0.5898,0
4.3112,-0.0061,2,0.002627,0.002462,0.5422,0.5218,0.5898,0
4.3114,0.0011,2,0.002661,0.002685,0.5334,0.5204,0.5897,0
4.3133,0.0057,2,0.002603,0.002619,0.5333,0.5375,0.5896,0
4.3121,0.0061,2,0.002493,0.002399,0.5740,0.5528,0.5896,0
4.3127,0.0059,2,0.002581,0.002674,0.5503,0.5385,0.5895,0
4.3128,0.0049,2,0.002505,0.002609,0.5694,0.5450,0.5895,0
4.3127,0.0104,2,0.002696,0.002618,0.5833,0.5637,0.5894,0
4.3121,0.0187,2,0.002723,0.002462,0.5730,0.5517,0.5894,0
4.3057,0.0381,2,0.002435,0.002735,0.5681,0.5648,0.5893,0
4.3007,0.0552,2,0.002345,0.002485,0.5768,0.5744,0.5893,0
4.3003,0.1045,2,0.002397,0.002445,0.6002,0.5935,0.5892,0
4.3003,0.0862,2,0.002365,0.002388,0.6048,0.5805,0.5892,0
4.3005,0.0238,2,0.002567,0.002661,0.6173,0.5868,0.5891,0
4.3005,-0.0211,2,0.002245,0.002412,0.5865,0.5876,0.5891,0
4.2999,-0.0634,2,0.002364,0.002565,0.6181,0.6072,0.5890,0
4.299,-0.0681,2,0.002537,0.002401,0.6014,0.5911,0.5889,0
4.2988,-0.0557,2,0.002389,0.002474,0.6352,0.6064,0.5889,0
4.2998,-0.0404,2,0.002544,0.002434,0.5862,0.6157,0.5888,0
4.2997,-0.0464,2,0.002342,0.002316,0.6059,0.6116,0.5888,0
4.2997,0.2234,2,0.002620,0.002366,0.5749,0.5935,0.5887,0
4.3011,0.4906,2,0.002273,0.002383,0.6106,0.6105,0.5887,0
4.3011,-0.0521,2,0.002608,0.002414,0.5873,0.6059,0.5886,0
4.3009,-0.3291,2,0.002354,0.002471,0.6261,0.5915,0.5886,0
4.2998,-0.2453,2,0.002735,0.002387,0.6032,0.5973,0.5885,0
4.3001,-0.0323,2,0.002314,0.002533,0.6393,0.6177,0.5885,0
4.2999,0.0206,2,0.002416,0.002450,0.5716,0.6114,0.5884,0
4.2999,0.0415,2,0.002358,0.002424,0.6213,0.6164,0.5883,0
4.3003,0.0599,2,0.002363,0.002288,0.5863,0.6096,0.5883,0
4.3009,0.0703,2,0.002482,0.002385,0.6151,0.6140,0.5882,0
4.3015,0.0846,2,0.002537,0.002562,0.6101,0.6188,0.5882,0
4.3011,0.1003,2,0.002427,0.002399,0.6459,0.6212,0.5881,0
4.2997,0.12,2,0.002674,0.002409,0.5940,0.5994,0.5881,0
4.3006,0.1548,2,0.002561,0.002400,0.6430,0.6064,0.5880,0
4.3003,0.187,2,0.002482,0.002400,0.5984,0.6133,0.5880,0
4.3009,0.2043,2,0.002668,0.002521,0.6372,0.6190,0.5879,0
